LEAID	PCT_BACH	PCT_ADVC	P_EX_1_5	P_EX6_10	P_EX1120	P_EX2130	P_EXGT30	M_EXP	MBSAL1_5	MBSAL610	MBSA1120	MBSA2130	MBSAGT30	M_BSAL
0802430	69.5	30.5	44.1	13.6	23.7	13.6	5.1	11	34308	34350	40426	39381	43117	36902
0802460	80.0	-1.0	-1.0	40.0	-1.0	-1.0	-1.0	13	-1	32610	-1	-1	-1	34902
0802490	43.7	56.3	20.0	24.6	33.5	19.2	2.6	13	35314	47011	56508	64044	68174	51680
0802520	65.0	35.0	22.5	47.5	22.5	-1.0	-1.0	10	36981	39985	40381	-1	-1	39430
0802550	80.0	-1.0	50.0	-1.0	0.0	-1.0	-1.0	12	28672	-1	-2	-1	-1	31456
0802580	62.3	37.3	39.3	24.4	20.7	13.7	1.9	10	34616	41673	51415	58587	62741	43648
0802610	71.2	28.8	20.2	23.1	26.9	23.1	6.7	15	28650	31044	36405	41497	44046	35291
0802640	51.7	48.3	21.7	26.7	25.0	21.7	5.0	13	30329	32413	37180	42823	44500	36013
0802670	75.5	24.5	20.4	12.2	38.8	20.4	8.2	15	28473	30827	33862	39126	40726	34025
0802700	74.2	25.8	48.4	16.1	19.4	-1.0	9.7	10	31510	33930	37600	-1	45883	35410
0802730	51.4	48.6	40.5	35.1	24.3	0.0	0.0	7	32147	33020	37797	-2	-2	33828
0802760	66.7	-1.0	-1.0	-1.0	50.0	0.0	0.0	9	-1	-1	28167	-2	-2	25417
0802790	27.9	70.8	17.7	15.9	38.9	23.0	4.4	15	32627	38901	47755	52561	52596	44987
0802850	51.1	48.9	36.2	21.3	34.0	8.5	0.0	11	29610	32098	34753	43088	-2	33037
0802880	81.8	-1.0	-1.0	-1.0	27.3	45.5	0.0	18	-1	-1	37167	37600	-2	34682
0802910	37.9	62.1	22.4	26.5	27.8	18.8	4.5	13	34927	47461	60007	65216	64970	52258
0802940	37.6	62.4	26.0	24.0	33.1	14.0	2.9	12	36141	40261	46968	57245	56013	44247
0803000	46.8	53.2	27.7	19.1	23.4	25.5	-1.0	13	32369	35639	42034	55294	-1	41993
