LEAID	PCT_BACH	PCT_ADVC	P_EX_1_5	P_EX6_10	P_EX1120	P_EX2130	P_EXGT30	M_EXP	MBSAL1_5	MBSAL610	MBSA1120	MBSA2130	MBSAGT30	M_BSAL
2004590	56.9	43.1	22.0	17.4	21.1	21.1	18.3	17	33065	35743	42038	46799	48796	41209
2004620	58.6	41.4	13.8	24.1	25.9	29.3	6.9	16	30448	33507	37690	42867	43500	37600
2004650	66.7	33.3	15.8	15.8	31.6	31.6	-1.0	17	28040	31351	33943	36685	-1	33521
2004670	60.9	39.1	17.4	15.2	32.6	19.6	15.2	17	34725	36914	40917	44006	46603	40700
2004710	70.2	29.8	26.3	15.8	29.8	15.8	12.3	15	33436	36122	40645	44852	45179	39255
2004740	59.6	40.4	23.1	28.8	25.0	13.5	9.6	13	33343	35896	40274	43205	47722	38523
2004770	65.9	34.1	24.4	17.1	34.1	17.1	7.3	14	30955	33464	37846	42314	41000	36411
2004790	61.5	38.5	0.0	23.1	38.5	-1.0	23.1	20	-2	29655	34203	-1	33972	33557
2004800	81.8	18.2	11.4	38.6	27.3	9.1	13.6	15	33634	36478	38591	43397	44583	38465
2004830	84.6	15.4	19.2	19.2	19.2	30.8	11.5	18	29473	32556	36856	42184	45095	37199
2004860	56.5	43.5	-1.0	-1.0	34.8	30.4	17.4	20	-1	-1	36200	38933	40238	37290
2004890	46.1	53.9	9.0	16.9	29.2	31.5	13.5	19	29446	32559	34933	40095	44145	36905
2004920	69.2	30.8	24.2	7.6	39.4	21.2	7.6	16	33617	36785	43667	45216	49005	41442
2004950	76.9	23.1	20.0	16.0	32.0	24.0	-1.0	16	30654	32475	38570	39431	-1	36894
2004980	52.1	47.9	22.0	13.6	26.3	24.6	13.6	16	31728	34857	39623	48046	49259	40614
2005010	74.6	25.4	15.6	20.3	28.1	29.7	6.3	16	31818	33762	39079	42241	37181	37684
2005040	86.4	13.6	22.7	18.2	45.5	-1.0	-1.0	13	27359	29629	32646	-1	-1	30253
2005070	38.4	61.6	12.3	26.0	31.5	20.5	9.6	15	33418	38292	43679	47984	52710	42762
2005100	53.6	46.4	15.5	20.6	32.0	24.7	7.2	16	29900	32257	35976	39532	42256	35603
2005130	75.0	25.0	22.2	16.7	38.9	22.2	0.0	14	32722	36320	40652	43938	-2	38898
2005190	100.0	0.0	38.5	-1.0	-1.0	-1.0	-1.0	13	31400	-1	-1	-1	-1	36379
2005250	77.1	22.9	20.0	22.9	25.7	20.0	11.4	16	33989	35493	39764	42114	46351	38856
2005280	69.5	30.5	13.6	15.3	30.5	37.3	-1.0	18	32037	34441	38819	43226	-1	39083
2005310	80.0	20.0	-1.0	20.0	20.0	30.0	20.0	20	-1	31571	35373	36344	39157	34889
2005370	77.8	22.2	0.0	16.7	27.8	38.9	16.7	21	-2	33262	35340	39810	41210	37710
2005400	94.7	-1.0	40.0	15.0	30.0	15.0	0.0	11	33350	37367	41371	45900	-2	38241
2005430	93.3	-1.0	26.7	26.7	-1.0	26.7	-1.0	15	31730	34086	-1	39605	-1	35520
2005460	52.3	47.7	24.7	18.8	31.4	19.2	5.9	14	36681	40560	46012	53323	51645	44424
2005490	57.1	42.9	39.5	24.5	21.8	9.1	5.1	10	36246	40515	44801	51115	56699	41557
2005520	60.0	40.0	20.0	-1.0	60.0	-1.0	-1.0	16	32308	-1	36669	-1	-1	36282
2005550	84.2	15.8	47.4	-1.0	26.3	-1.0	-1.0	10	30336	-1	36625	-1	-1	33788
2005580	67.0	32.7	30.1	19.6	26.1	17.6	6.5	13	32395	38816	43343	48737	53433	40775
2005610	71.2	28.8	23.1	17.3	30.8	17.3	11.5	15	32583	36872	40263	42849	49374	39402
2005640	48.8	51.2	11.4	13.6	31.8	34.1	9.1	18	33972	37849	42053	45639	46193	42160
2005700	67.4	32.6	18.6	11.6	25.6	32.6	11.6	18	29958	35000	37631	41171	41810	37536
2005730	52.7	46.4	19.4	24.5	33.8	17.3	5.1	14	34381	37485	42175	47774	49048	40831
2005760	61.1	38.9	27.8	27.8	0.0	33.3	-1.0	15	31784	32944	-2	36958	-1	35220
